+Участковая избирательная комиссия №1165	ТИК № 46	Евстафьева Елена Ивановна	Председатель	собрание избирателей по месту работы
-Участковая избирательная комиссия №1165	ТИК № 46	Евстафьева Елена Ивановна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1165	ТИК № 46	Корнеенко Людмила Валерьевна	Член	"Красносельское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
-Участковая избирательная комиссия №1169	ТИК № 46	Морозова Галина Анатольевна	Член	"Межрегиональная общественная организация ""Союз женщин Санкт-Петербурга и Ленинградской области"" Союза женщин России"
-Участковая избирательная комиссия №1169	ТИК № 46	Трусова Оксана Николаевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1169	ТИК № 46	Шаманская Елена Валерьевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1170	ТИК № 46	Ермилова Ирина Викторовна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1170	ТИК № 46	Мошкина Ирина Викторовна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1171	ТИК № 46	Линькова Елена Александровна	Председатель	собрание избирателей по месту работы
-Участковая избирательная комиссия №1171	ТИК № 46	Кулакова Татьяна Петровна	Зам.председателя	представительный орган муниципального образования
-Участковая избирательная комиссия №1171	ТИК № 46	Шевчук Татьяна Робертовна	Секретарь	"Межрегиональная общественная организация ""Союз женщин Санкт-Петербурга и Ленинградской области"" Союза женщин России"
-Участковая избирательная комиссия №1171	ТИК № 46	Афонькин Андрей Михайлович	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1171	ТИК № 46	Волкова Елена Геннадьевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1171	ТИК № 46	Гильдинбрант Наталья Александровна	Член	"Санкт-Петербургское региональное отделение политической партии ""ПАТРИОТЫ РОССИИ"""
-Участковая избирательная комиссия №1171	ТИК № 46	Морозова Светлана Анатольевна	Член	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
-Участковая избирательная комиссия №1171	ТИК № 46	Старжинская Любовь Владимировна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1171	ТИК № 46	Трусова Оксана Владимировна	Член	"Красносельское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
+Участковая избирательная комиссия №1171	ТИК № 46	Колмогоров Максим Владимирович	Председатель	"Санкт-Петербургская Общественная организация в поддержку молодежи ""МИР МОЛОДЕЖИ"""
+Участковая избирательная комиссия №1171	ТИК № 46	Комолов Денис Борисович	Зам.председателя	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
+Участковая избирательная комиссия №1171	ТИК № 46	Машкина Мария Алексеевна	Секретарь	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №1171	ТИК № 46	Аксельрод Александр Антонович	Член	"Общественное организация ""Всероссийское общество автомобилистов"""
+Участковая избирательная комиссия №1171	ТИК № 46	Гореликов Руслан Сергеевич	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1171	ТИК № 46	Гореликова Ольга Викторовна	Член	"Региональная общественная организация бывших военнослужащих СПЕЦНАЗа армии и флота ""РОС"""
+Участковая избирательная комиссия №1171	ТИК № 46	Миронова Анна Борисовна	Член	"Региональное отделение Политической партии ""Российская партия пенсионеров за социальную справедливость"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1171	ТИК № 46	Миттал Сорроб Кумар	Член	"Политическая партия ""НОВЫЕ ЛЮДИ"""
+Участковая избирательная комиссия №1171	ТИК № 46	Писарева Виктория Борисовна	Член	собрание избирателей по месту жительства
