+Участковая избирательная комиссия №440	ТИК № 38	Шашко Даниил Андреевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №441	ТИК № 38	Ложкина Анна Вадимовна	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №441	ТИК № 38	Ложкин Роман Олегович	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №441	ТИК № 38	Курносова Анастасия Владимировна	Секретарь	собрание избирателей по месту жительства
-Участковая избирательная комиссия №441	ТИК № 38	Курносова Анастасия Владимировна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №441	ТИК № 38	Ложкин Роман Олегович	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №441	ТИК № 38	Сангина Людмила Олеговна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №441	ТИК № 38	Сангина Людмила Олеговна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №442	ТИК № 38	Мирная Лидия Андреевна	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №442	ТИК № 38	Патрикеев Игнат Кириллович	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №443	ТИК № 38	Солнцев Михаил Вячеславович	Секретарь	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №443	ТИК № 38	Солнцев Михаил Вячеславович	Секретарь	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №443	ТИК № 38	Пешков Александр Сергеевич	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
+Участковая избирательная комиссия №443	ТИК № 38	Черевков Сергей Александрович	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №509	ТИК № 38	Лутов Андрей Александрович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №509	ТИК № 38	Лутов Андрей Александрович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №509	ТИК № 38	Михалева Надежда Александровна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №509	ТИК № 38	Таукенов Аслан Владимирович	Член	собрание избирателей по месту жительства
