-Участковая избирательная комиссия №1456	ТИК № 50	Безрукавная Диана Равилевна	Зам.председателя	"Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России"""
-Участковая избирательная комиссия №1456	ТИК № 50	Кустышева Таисия Александровна	Секретарь	"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1456	ТИК № 50	Деменок Мария Викторовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1456	ТИК № 50	Деменок Мария Викторовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1456	ТИК № 50	Королёва Светлана Александровна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1456	ТИК № 50	Халявина Ольга Вячеславовна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1457	ТИК № 50	Иванова Александра Романовна	Секретарь	собрание избирателей по месту работы
+Участковая избирательная комиссия №1457	ТИК № 50	Бондарь Александра Романовна	Секретарь	собрание избирателей по месту работы
-Участковая избирательная комиссия №1457	ТИК № 50	Круглова Наталья Анатольевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1457	ТИК № 50	Круглова Наталья Анатольевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1459	ТИК № 50	Тесленко Алексей Валерьевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1459	ТИК № 50	Тесленко Алексей Валерьевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1460	ТИК № 50	Реуцкая Светлана Валентиновна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
