+Участковая избирательная комиссия №2215	ТИК № 64	Пастухов Георгий Михайлович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №2215	ТИК № 64	Пышненко Дмитрий Андреевич	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2215	ТИК № 64	Тарасова Людмила Викторовна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2216	ТИК № 64	Гончарова Мария Ивановна	Председатель	собрание избирателей по месту работы
-Участковая избирательная комиссия №2216	ТИК № 64	Попова Мария Константиновна	Секретарь	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
+Участковая избирательная комиссия №2216	ТИК № 64	Подлужная Галина Валентиновна	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №2216	ТИК № 64	Архипова Лариса Валерьевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2216	ТИК № 64	Гаибов Нилар Низами оглы	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2216	ТИК № 64	Барканова Ольга Сергеевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2216	ТИК № 64	Гаибов Нилар Низами оглы	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2216	ТИК № 64	Гончарова Светлана Ивановна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №2216	ТИК № 64	Захарова Надежда Брониславовна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2216	ТИК № 64	Сафронова Юлиана Анатольевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2216	ТИК № 64	Шишкина Лидия Евгеньевна	Член	"Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России"""
-Участковая избирательная комиссия №2217	ТИК № 64	Борисова Нина Евгеньевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2217	ТИК № 64	Борисова Нина Евгеньевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2218	ТИК № 64	Клюка Алла Игоревна	Председатель	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
-Участковая избирательная комиссия №2218	ТИК № 64	Синягин Андрей Владимирович	Зам.председателя	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
-Участковая избирательная комиссия №2218	ТИК № 64	Бубенникова Алла Ильинична	Секретарь	"Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России"""
+Участковая избирательная комиссия №2218	ТИК № 64	Амосова Елена Алексеевна	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №2218	ТИК № 64	Аниченкова Елена Васильевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2218	ТИК № 64	Давыдова Анастасия Ринатовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2218	ТИК № 64	Ваучская Надежда Михайловна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2218	ТИК № 64	Давыдова Анастасия Ринатовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №2218	ТИК № 64	Кабашова Дарья Юрьевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №2218	ТИК № 64	Маслюк Орыся Дмитриевна	Член	"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге"
